CFSNumber,IncidentDateTime,CrashType,Address,Latitude,Longitude,ClosestRoadName,SpeedLimit,RouteNumber,Year,Month,Day,Timespan,Division,Sector,Beat,ReportingArea,Maintenance
PP23031900001991,54:00.0,Vehicle,1014 Hill Rd,38.90437698,-76.89173126,HILL,25,CO0360,2023,Mar,Sun,18:00 to 20:59,III,G,G2,329,COUNTY
PP23062500000268,14:00.0,Pedestrian,1102 E West Hwy Wb,38.97533035,-76.98719788,EAST WEST,35,MD410,2023,Jun,Sun,00:00 to 02:59,I,A,A3,116,MARYLAND
PP24060100001755,14:00.0,Vehicle,11041 Laurel Bowie Rd,39.04684448,-76.80501556,LAUREL BOWIE,45,MD197,2024,Jun,Sat,18:00 to 20:59,II,D,D2,874,MARYLAND
PP25080600002165,43:00.0,Vehicle,11106 Tippett Rd,38.73745346,-76.92819977,TIPPETT,25,CO0146,2025,Aug,Wed,21:00 to 23:59,V,F,F4,631,COUNTY
PP25081200000039,37:00.0,Vehicle,11443 Laurel Bowie Rd,39.04680634,-76.82489014,LAUREL BOWIE,45,MD197,2025,Aug,Tue,00:00 to 02:59,VI,C,C4,801,MARYLAND
PP25040100002463,39:00.0,Vehicle,11703 Old Fort Rd,38.72937775,-76.97831726,OLD FORT,25,CO0118,2025,Apr,Tue,21:00 to 23:59,VII,W,W4,627,COUNTY
PP23092900001919,32:00.0,Vehicle,12807 Woodmore Rd,38.92588043,-76.78305054,WOODMORE,40,CO0111,2023,Sep,Fri,18:00 to 20:59,II,E,E6,860,COUNTY
PP24031700002013,23:00.0,Pedestrian,13000 Laurel Bowie Rd Sb,39.07117462,-76.84648895,LAUREL BOWIE,45,MD197,2024,Mar,Sun,21:00 to 23:59,VI,C,C4,916,MARYLAND
PP23020400002462,11:00.0,Vehicle,14276 Brandywine Rd,38.69595718,-76.83324432,BRANDYWINE,30,CO0599,2023,Feb,Sat,21:00 to 23:59,V,F,F6,750,COUNTY
PP23091100002249,46:00.0,Pedestrian,14709 Livingston Rd,38.68356323,-76.98501587,LIVINGSTON,35,CO1201,2023,Sep,Mon,21:00 to 23:59,VII,W,W2,649,COUNTY
PP25070400001769,00:00.0,Vehicle,15501 Brandywine Rd,38.67736816,-76.80930328,BRANDYWINE,50,CO0599,2025,Jul,Fri,18:00 to 20:59,V,F,F7,755,COUNTY
PP23040100000778,01:00.0,Vehicle,15810 Mckendree Rd,38.67221832,-76.88962555,MCKENDREE,25,CO3853,2023,Apr,Sat,09:00 to 11:59,VII,W,W6,642,COUNTY
PP23082000000354,21:00.0,Pedestrian,2057 University Blvd Eb,38.98336411,-76.97719574,UNIVERSITY,35,MD193,2023,Aug,Sun,03:00 to 05:59,I,A,A6,114,MARYLAND
PP25010300001909,02:00.0,Vehicle,23977 Aquasco Rd,38.56030655,-76.73712158,AQUASCO,50,MD381,2025,Jan,Fri,18:00 to 20:59,V,F,F7,767,MARYLAND
PP24040100001114,29:00.0,Vehicle,2701 Enterprise Rd,38.92674637,-76.80606842,ENTERPRISE,45,MD193,2024,Apr,Mon,12:00 to 14:59,II,E,E6,848,MARYLAND
PP24102700000077,32:00.0,Vehicle,3408 Ritchie Marlboro Rd,38.843853,-76.81084442,RITCHIE MARLBORO,40,CO0974,2024,Oct,Sun,00:00 to 02:59,II,E,E4,716,COUNTY
PP24081400001130,22:00.0,Pedestrian,3594 Powder Mill Rd Wb,39.04391098,-76.94496155,GLEN SHEIL,25,CO1786,2024,Aug,Wed,12:00 to 14:59,VI,C,C2,928,COUNTY
PP24032200000299,50:00.0,Pedestrian,3652 Powder Mill Rd Wb,39.04487991,-76.94173431,POWDER MILL,35,CO1786,2024,Mar,Fri,03:00 to 05:59,VI,C,C2,928,COUNTY
PP24110900002021,27:00.0,Vehicle,4545 Wheeler Rd,38.83028412,-76.9828949,WHEELER,35,CO0110,2024,Nov,Sat,21:00 to 23:59,IV,J,J2,511,COUNTY
PP24083100001205,06:00.0,Vehicle,4302 E West Hwy Wb,38.96625137,-76.94308472,EAST WEST,35,MD410,2024,Aug,Sat,15:00 to 17:59,I,B,B62,129,MARYLAND
PP25060600002282,24:00.0,Vehicle,Livingston Rd / Crisfield Dr,38.80962753,-76.99138641,LIVINGSTON,25,CO1201,2025,Jun,Fri,21:00 to 23:59,IV,J,J3,517,COUNTY
